note	book	page	result	score	quote
Goeben and Breslau (1914).md	Osmanlı Piyadesi 1914-1918 (David Nicolle)	p. 9	unmatched	0	10-11 Ağustos Alman savaş gemıleri Goeben (Yavuz) ile Breslau (Midilli) Osmanlı 
Goeben and Breslau (1914).md	Sultanın Paşaları (Olivier Bouquet)	p. 139	unmatched	0	…sı Sen Petersburg'da birinci kôtip Erzurum vilayetinde mektupçu ve politika mem
Greco-Turkish War of 1897.md	Balkan Harbi'nde Ulaştırma (Bülent Durgun)	p. 62	updated		büyük bir hata içinde olunduğu da eklenmektedir. 76 75 "!talyan Lejyonu, 1912-19 → büyük bir hata içinde olunduğu da eklenmektedir. 76 75 "!talyan Lejyonu, 1912-19
Hamidian massacres and Armenian uprisings (1894-1896).md	Talât Paşa'nın Evrak-ı Metrukesi (Murat Bardakçı)	p. 92	unmatched	0	Enver Paşa İsmail Bey Rıfat Paşa Rauf Bey Necmeddin Bey Cavid Bey Cahid Bey Hacı
Palestine and Sinai Front.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 450	updated		1ngiliz saldmlan geri i;ekilmemizden sonra gittik<;e arttI ve Gazze'de ardarda i → Ingiliz saldırlar geri çekilmemizden sonra gittikçe arttı ve Gazze'de ardarda üç
Palestine and Sinai Front.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 450	updated		1ngiliz saldmlan geri i;ekilmemizden sonra gittik<;e arttI ve Gazze'de ardarda i → Ingiliz saldırlar geri çekilmemizden sonra gittikçe arttı ve Gazze'de ardarda üç
Palestine and Sinai Front.md	Bu Defa Niçin Harp Edeceğimi Biliyorum (İbrahim Sorguç)	p. 134	unmatched	0	Filistin Cephesi'ndeki mağlubiyeti ve İngilizlere esir oluşunu bir türlü hazmede
Palestine and Sinai Front.md	Birinci Dünya Savaşı'nda Türkiye (Ahmet Emin Yalman)	p. 297	updated		1 9 Aralık 1917 tarihinde İstanbul Darülfünunu Sınayi-i Nefise Mektebi hararetli → 1 9 Aralık 1917 tarihinde İstanbul Darülfünunu Sınayi-i Nefise Mektebi hararetli
Palestine and Sinai Front.md	İç Savaş ve Sevr'de Ölüm (Sina Akşin)	p. 376	unmatched	85	366 iç SAVAfi VE SEVR'DE Ot.OM Akşin, Sina, "31 Mart Olayı'na Değin Sabahattin B
Palestine and Sinai Front.md	Osmanlı Piyadesi 1914-1918 (David Nicolle)	p. 10	unmatched	0	4AOustos Osmanlıların Sina Yarımadası'ndaki ilerleyişi Romani'de durduruldu; Ağu
Paris Peace Conference (1919).md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 272	updated		270 olan erkek torununu veliahdi yapacagrm soyliiyordu. ~erif Pa~a, hayatrm 22 A → olan erkek torununu veliahdı yapacağını söylüyordu. Şerif Paşa, hayatını 22 Aral
